REDE;SUBREDE;TIPO;CÓDIGO;CLIENTE;BAIRRO;CIDADE;CLASSE ;LATITUDE;LONGITUDE;PRODUTO;VENDA;DEVOLUÇÃO;% DEV
CENTERBOX;-;REDE;11898;CENTERBOX - VALPARAISO;JANGURUSSU;FORTALEZA;C ;-3.8489518;-38.51200331;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 167,24;R$ 0,00;0,00%
CENTERBOX;-;REDE;11898;CENTERBOX - VALPARAISO;JANGURUSSU;FORTALEZA;C ;-3.8489518;-38.51200331;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 189,10;R$ 0,00;0,00%
CENTERBOX;-;REDE;11898;CENTERBOX - VALPARAISO;JANGURUSSU;FORTALEZA;C ;-3.8489518;-38.51200331;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 88,90;R$ 0,00;0,00%
CENTERBOX;-;REDE;11898;CENTERBOX - VALPARAISO;JANGURUSSU;FORTALEZA;C ;-3.8489518;-38.51200331;RICOTA VALE MILK 200G;R$ 137,17;R$ 0,00;0,00%
CENTERBOX;-;REDE;11899;CENTERBOX - LAGOA REDONDA;LAGOA REDONDA;FORTALEZA;C;-3.82635425;-38.47426069;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 253,74;R$ 236,94;93,38%
CENTERBOX;-;REDE;11899;CENTERBOX - LAGOA REDONDA;LAGOA REDONDA;FORTALEZA;C;-3.82635425;-38.47426069;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 318,15;R$ 186,64;58,66%
CENTERBOX;-;REDE;11899;CENTERBOX - LAGOA REDONDA;LAGOA REDONDA;FORTALEZA;C;-3.82635425;-38.47426069;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 266,79;R$ 215,95;80,94%
CENTERBOX;-;REDE;11899;CENTERBOX - LAGOA REDONDA;LAGOA REDONDA;FORTALEZA;C;-3.82635425;-38.47426069;RICOTA VALE MILK 200G;R$ 228,18;R$ 177,55;77,81%
REDE POUPE MAX;SUPER GENTILANDIA;SUBREDE;11912;SUPER GENTILANDIA- JOSE BONIFACIO;JOSE BONIFACIO;FORTALEZA;B;-3.73839532;-38.53222215;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 39,47;R$ 0,00;0,00%
REDE POUPE MAX;SUPER GENTILANDIA;SUBREDE;11912;SUPER GENTILANDIA- JOSE BONIFACIO;JOSE BONIFACIO;FORTALEZA;B;-3.73839532;-38.53222215;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 74,46;R$ 0,00;0,00%
REDE POUPE MAX;SUPER GENTILANDIA;SUBREDE;11912;SUPER GENTILANDIA- JOSE BONIFACIO;JOSE BONIFACIO;FORTALEZA;B;-3.73839532;-38.53222215;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 42,21;R$ 0,00;0,00%
REDE POUPE MAX;SUPER GENTILANDIA;SUBREDE;11912;SUPER GENTILANDIA- JOSE BONIFACIO;JOSE BONIFACIO;FORTALEZA;B;-3.73839532;-38.53222215;RICOTA VALE MILK 200G;R$ 27,41;R$ 0,00;0,00%
CENTERBOX;-;REDE;11946;CENTERBOX - PARQUE SANTA MARIA;Parque Santa Maria;FORTALEZA;B;-3.8573702;-3.8573702;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 256,76;R$ 0,00;0,00%
CENTERBOX;-;REDE;11946;CENTERBOX - PARQUE SANTA MARIA;Parque Santa Maria;FORTALEZA;B;-3.8573702;-3.8573702;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 287,14;R$ 0,00;0,00%
CENTERBOX;-;REDE;11946;CENTERBOX - PARQUE SANTA MARIA;Parque Santa Maria;FORTALEZA;B;-3.8573702;-3.8573702;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 39,14;R$ 0,00;0,00%
CENTERBOX;-;REDE;11946;CENTERBOX - PARQUE SANTA MARIA;Parque Santa Maria;FORTALEZA;B;-3.8573702;-3.8573702;RICOTA VALE MILK 200G;R$ 170,99;R$ 0,00;0,00%
