REDE;SUBREDE;TIPO;CÓDIGO;CLIENTE;BAIRRO;CIDADE;CLASSE ;LATITUDE;LONGITUDE;PRODUTO;VENDA;DEVOLUÇÃO;% DEV
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;368;SUPER PORTUGAL - TAUAPE;SAO JOAO DO TAUAPE;FORTALEZA;A;-3.7560405;-38.5114051;RICOTA VALE MILK 200G;R$ 224,17;R$ 0,00;0,00%
REDE EXATA;-;VAREJO;378;ALFREDO SUPERMERCADO;BARROSO;FORTALEZA;B;-3.8227322;-38.5091962;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 38,95;R$ 0,00;0,00%
REDE EXATA;-;VAREJO;378;ALFREDO SUPERMERCADO;BARROSO;FORTALEZA;B;-3.8227322;-38.5091962;RICOTA VALE MILK 200G;R$ 59,78;R$ 0,00;0,00%
CENTERBOX;-;REDE;465;CENTERBOX - CEL CARVALHO;BARRA DO CEARA;FORTALEZA;C;-3.7135362;-38.5885703;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 120,80;R$ 9,91;8,20%
CENTERBOX;-;REDE;465;CENTERBOX - CEL CARVALHO;BARRA DO CEARA;FORTALEZA;C;-3.7135362;-38.5885703;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 266,47;R$ 46,92;17,61%
CENTERBOX;-;REDE;465;CENTERBOX - CEL CARVALHO;BARRA DO CEARA;FORTALEZA;C;-3.7135362;-38.5885703;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 88,90;R$ 9,00;10,12%
CENTERBOX;-;REDE;465;CENTERBOX - CEL CARVALHO;BARRA DO CEARA;FORTALEZA;C;-3.7135362;-38.5885703;RICOTA VALE MILK 200G;R$ 253,29;R$ 5,81;2,29%
REDE PARCERIA;ANALI;SUBREDE;535;ANALI - MARANGUAPE;NOVO MARANGUAPE I;MARANGUAPE;C;-3.8753904;-38.6706474;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 33,60;R$ 0,00;0,00%
REDE PARCERIA;ANALI;SUBREDE;535;ANALI - MARANGUAPE;NOVO MARANGUAPE I;MARANGUAPE;C;-3.8753904;-38.6706474;RICOTA VALE MILK 200G;R$ 26,10;R$ 0,00;0,00%
COMETA;-;REDE;548;COMETA (MATOS DOURADO);DOM LUSTOSA;FORTALEZA;C;-3.7498338;-38.5846885;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 232,47;R$ 0,00;0,00%
COMETA;-;REDE;548;COMETA (MATOS DOURADO);DOM LUSTOSA;FORTALEZA;C;-3.7498338;-38.5846885;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 221,52;R$ 0,00;0,00%
COMETA;-;REDE;548;COMETA (MATOS DOURADO);DOM LUSTOSA;FORTALEZA;C;-3.7498338;-38.5846885;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 244,80;R$ 0,00;0,00%
COMETA;-;REDE;548;COMETA (MATOS DOURADO);DOM LUSTOSA;FORTALEZA;C;-3.7498338;-38.5846885;RICOTA VALE MILK 200G;R$ 141,88;R$ 0,00;0,00%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;611;SUPER PORTUGAL - MARAPONGA;PARANGABA;FORTALEZA;B;-3.7842908;-38.5691114;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 36,55;R$ 0,00;0,00%
